File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Start to Start Distance From Last Set 1u,Mean Signal 500n,Signal to Noise Ratio 500n,Limit of Detection (nM) 500n,Start to Start Distance From Last Set 500n,Mean Signal 100n,Signal to Noise Ratio 100n,Limit of Detection (nM) 100n,Start to Start Distance From Last Set 100n,Mean Signal 50n,Signal to Noise Ratio 50n,Limit of Detection (nM) 50n,Start to Start Distance From Last Set 50n
10-08 chopped cube 2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Assays,4.751,1.094,4,61.582,18.758,533.117,98.316,29.946,166.965,139,33.382,10.168,98.347,140,15.382,4.685,106.716,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 chopped cube 2sec G20 4A 25mm lens F1.4 10-02 Red Exc chip.bmp,4,25,2,Known Concentration,4.427,1.003,5,170.507,56.652,176.517,121.773,40.460,123.579,141,27.973,9.294,107.593,140,15.573,5.174,96.631,142,4.907,1.630,61.340,121,0.000,0.000,0.000,0
10-08 chopped cube 2sec G20 7.8A 25mm lens F1.4 10-02 Red Exc chip.bmp,8,25,2,Assays,5.820,1.205,4,52.180,14.432,692.894,81.780,22.619,221.052,127,25.780,7.130,140.245,141,12.847,3.553,140.718,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 chopped cube 2sec G20 7.8A 25mm lens F1.4 10-02 Red Exc chip.bmp,8,25,2,Known Concentration,5.441,0.922,6,189.226,68.380,146.241,127.359,46.024,108.640,142,34.026,12.296,81.328,139,16.692,6.032,82.890,142,4.692,1.696,58.975,122,3.692,1.334,37.474,157
10-08 ET595_44m chopped cube 2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Assays,4.103,1.182,4,53.830,15.175,658.960,74.430,20.983,238.290,137,30.497,8.597,116.314,139,15.897,4.481,111.570,139,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 ET595_44m chopped cube 2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Known Concentration,4.064,0.966,4,142.602,49.191,203.290,84.802,29.253,170.925,139,18.402,6.348,157.533,140,8.669,2.990,167.205,137,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 ET595_44m chopped cube 2sec G20 7.8A 16mm lens F1.4 10-02 Red Exc chip.bmp,8,16,2,Assays,3.546,1.114,4,30.588,9.150,1092.900,46.188,13.817,361.886,136,16.188,4.842,206.510,141,9.921,2.968,168.476,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 ET595_44m chopped cube 2sec G20 7.8A 16mm lens F1.4 10-02 Red Exc chip.bmp,8,16,2,Known Concentration,3.346,0.898,4,117.388,43.568,229.526,50.854,18.874,264.908,140,9.721,3.608,277.165,140,4.988,1.851,270.095,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 ET600_50m chopped cube 2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Assays,5.763,1.122,4,71.637,21.282,469.879,93.170,27.679,180.641,136,39.237,11.657,85.789,140,19.570,5.814,86.000,139,0.000,0.000,0.000,0,0.000,0.000,0.000,0
10-08 ET600_50m chopped cube 2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Known Concentration,5.669,1.334,4,184.864,46.207,216.420,125.131,31.276,159.866,139,26.264,6.565,152.329,139,11.998,2.999,166.732,138,0.000,0.000,0.000,0,0.000,0.000,0.000,0
