File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Top,34.411,3.079,3,86.724,9.578,146.791,16.212,111,192.724,21.285,110,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Middle,27.580,2.609,3,101.044,12.309,155.711,18.968,116,203.778,24.824,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Bottom,28.047,2.736,3,77.604,9.221,131.071,15.574,111,194.271,23.083,112,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Top,21.742,2.602,3,131.102,13.736,213.302,22.349,112,234.502,24.570,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Middle,25.453,3.196,3,133.742,13.188,193.476,19.078,109,228.276,22.509,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Bottom,26.789,3.031,3,111.507,12.491,182.707,20.466,111,227.640,25.499,112,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Top,24.122,2.030,3,56.920,7.357,129.453,16.731,111,179.520,23.202,110,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Middle,18.218,2.372,3,79.147,15.180,137.680,26.406,111,189.813,36.405,109,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Bottom,19.151,1.637,3,63.271,15.711,89.938,22.332,100,170.671,42.379,122,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,80.998,4.870,3,96.760,6.464,163.827,10.944,111,164.760,11.006,111,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,69.304,5.012,3,113.427,6.872,167.360,10.140,109,185.027,11.210,110,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,71.520,4.660,3,95.622,6.331,156.622,10.369,112,184.489,12.214,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,53.942,7.690,3,175.964,6.253,204.231,7.258,109,204.231,7.258,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,60.836,6.696,3,163.898,6.855,192.698,8.060,111,192.698,8.060,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,66.291,7.966,3,152.418,7.618,193.351,9.664,110,193.351,9.664,114,0
