File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Top,34.411,3.079,3,86.724,9.578,104.405,146.791,16.212,308.413,111,192.724,21.285,469.813,110,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Middle,27.58,2.609,3,101.044,12.309,81.241,155.711,18.968,263.597,116,203.778,24.824,402.84,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Left Bottom,28.047,2.736,3,77.604,9.221,108.448,131.071,15.574,321.048,111,194.271,23.083,433.211,112,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Top,21.742,2.602,3,131.102,13.736,72.799,213.302,22.349,223.724,112,234.502,24.57,406.997,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Middle,25.453,3.196,3,133.742,13.188,75.828,193.476,19.078,262.085,109,228.276,22.509,444.261,111,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Center Bottom,26.789,3.031,3,111.507,12.491,80.06,182.707,20.466,244.306,111,227.64,25.499,392.166,112,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Top,24.122,2.03,3,56.92,7.357,135.933,129.453,16.731,298.845,111,179.52,23.202,431,110,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Middle,18.218,2.372,3,79.147,15.18,65.877,137.68,26.406,189.349,111,189.813,36.405,274.686,109,0
10-09 16mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,16,2,Right Bottom,19.151,1.637,3,63.271,15.711,63.651,89.938,22.332,223.891,100,170.671,42.379,235.966,122,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,80.998,4.87,3,96.76,6.464,154.713,163.827,10.944,456.886,111,164.76,11.006,908.596,111,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,69.304,5.012,3,113.427,6.872,145.515,167.36,10.14,493.109,109,185.027,11.21,892.051,110,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,71.52,4.66,3,95.622,6.331,157.96,156.622,10.369,482.193,112,184.489,12.214,818.718,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,53.942,7.69,3,175.964,6.253,159.916,204.231,7.258,688.916,109,204.231,7.258,1377.831,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,60.836,6.696,3,163.898,6.855,145.869,192.698,8.06,620.339,111,192.698,8.06,1240.677,112,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,66.291,7.966,3,152.418,7.618,131.269,193.351,9.664,517.395,110,193.351,9.664,1034.789,114,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Top,57.516,5.103,3,80.893,4.211,237.469,153.627,7.997,625.205,112,184.493,9.604,1041.21,110,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Middle,42.104,5.867,3,93.129,8.496,117.705,181.262,16.536,302.372,98,210.062,19.163,521.832,109,0
10-09 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Bottom,44.516,2.663,3,86.507,13.32,75.074,175.04,26.952,185.512,122,206.84,31.849,313.982,111,0
